사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
충주 1계 2007-8675(25),아파트,충북 충주시 호암동 905 수채 101동 2층 208호,"154,000,000","86,625,000",낙찰(2/3),"99,299,999",64.5%,2008.07.14
충주 1계 2007-8675(26),주상복합(주거),충북 충주시 호암동 905 수채 103동 1층 101호,"150,000,000","84,375,000",낙찰(2/3),"87,250,000",58.2%,2008.07.14
충주 1계 2007-8675(27),주상복합(주거),충북 충주시 호암동 905 수채 103동 1층 102호,"150,000,000","84,375,000",낙찰(2/3),"91,100,000",60.7%,2008.07.14
충주 1계 2007-8675(28),주상복합(주거),충북 충주시 호암동 905 수채 103동 2층 201호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 1계 2007-8675(29),주상복합(주거),충북 충주시 호암동 905 수채 103동 2층 202호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 1계 2007-8675(30),주상복합(주거),충북 충주시 호암동 905 수채 103동 2층 203호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 1계 2007-8675(31),주상복합(주거),충북 충주시 호암동 905 수채 103동 2층 204호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 1계 2007-8675(32),아파트,충북 충주시 호암동 905 수채 104동 1층 101호,"150,000,000","84,375,000",낙찰(2/3),"95,111,100",63.4%,2008.07.14
충주 1계 2007-8675(33),아파트,충북 충주시 호암동 905 수채 104동 1층 103호,"150,000,000","84,375,000",낙찰(2/3),"92,900,000",61.9%,2008.07.14
충주 1계 2007-8675(34),아파트,충북 충주시 호암동 905 수채 104동 2층 201호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 1계 2007-8675(35),아파트,충북 충주시 호암동 905 수채 104동 2층 204호,"154,000,000","86,625,000",낙찰(2/3),"99,999,999",64.9%,2008.07.14
충주 2계 2007-8712,연립,"충북 음성군 대소면 삼정리 611-3 , 611-22, 611-23, 611-42 거목파크빌 3층 304호","105,000,000","78,750,000",취하(1/1),0,0%,2008.08.12
충주 3계 2007-8750,공장,충북 음성군 금왕읍 사창리 195 외 5필지,"1,536,151,110","1,152,113,000",낙찰(1/2),"1,257,000,000",81.8%,2008.07.15
충주 1계 2007-8798,도로,충북 충주시 용산동 1535,"61,600,000","34,650,000",낙찰(2/4),"40,150,000",65.2%,2008.11.04
충주 2계 2007-8804,전,충북 충주시 엄정면 목계리 79-12,"1,650,000","1,650,000",낙찰(0/1),"1,710,000",103.6%,2008.08.12
충주 2계 2007-8835,숙박시설,충북 충주시 수안보면 온천리 239-25,"635,166,500","635,166,500",취하(0/0),0,0%,2008.10.21
충주 1계 2007-8859,전,충북 충주시 동량면 용교리 820-2,"16,796,000","9,448,000",낙찰(2/3),"12,760,000",76.0%,2008.07.22
충주 2계 2007-8866,임야,충북 음성군 음성읍 용산리 1789-2,"1,036,656,000","583,119,000",낙찰(2/3),"688,000,000",66.4%,2008.10.21
충주 2계 2007-8927(1),아파트,"충북 음성군 금왕읍 금석리 259 ,260-2 ,261 로얄 3층 309호","45,000,000","45,000,000",기각(1/1),0,0%,2008.08.25
충주 2계 2007-8927(2),전,충북 음성군 금왕읍 유포리 352-2,"6,300,000","6,300,000",낙찰(0/1),"7,321,000",116.2%,2008.08.12
충주 1계 2007-8941,차량,충북 충주시 칠금동 343-4 금능주차장내 보관,"140,000,000","59,063,000",낙찰(3/4),"67,230,000",48.0%,2008.08.26
충주 2계 2007-8958(1),아파트,충북 음성군 대소면 부윤리 121-1 한미금강 102동 1층 106호,"18,000,000","13,500,000",낙찰(1/2),"16,600,000",92.2%,2008.09.16
충주 2계 2007-8958(2),아파트,충북 음성군 대소면 부윤리 121-1 한미금강 102동 1층 105호,"18,000,000","13,500,000",낙찰(1/2),"15,380,000",85.4%,2008.09.16
충주 2계 2007-9012,아파트,충북 충주시 교현동 1309 충주교현성원임대 2동 12층 1202호,"55,000,000","55,000,000",기각(1/1),0,0%,2008.11.19
충주 2계 2007-9043,전,충북 음성군 대소면 태생리 313-3,"36,120,000","36,120,000",낙찰(0/1),"37,010,000",102.5%,2008.09.16
충주 2계 2007-9104,아파트,충북 충주시 연수동 930 세원 105동 4층 405호,"53,000,000","39,750,000",낙찰(1/2),"45,000,000",84.9%,2008.09.16
충주 2계 2007-9166,공장,충북 음성군 삼성면 선정리 429-22 나동호,"962,599,900","721,950,000",낙찰(1/2),"789,789,000",82.0%,2008.09.16
충주 1계 2007-9180,아파트상가,충북 충주시 목행동 593-8 충주삼진동산 상가동 1층 104호,"27,000,000","15,188,000",낙찰(2/3),"22,011,000",81.5%,2008.07.22
충주 2계 2007-9197,연립,충북 충주시 교현동 941 교현빌라 에이동 2층 204호,"37,000,000","37,000,000",낙찰(0/1),"37,000,000",100.0%,2008.08.12
충주 2계 2007-9227,아파트,"충북 충주시 교현동 397 ,398 동아 2동 3층 304호","65,000,000","48,750,000",낙찰(1/2),"58,511,000",90.0%,2008.09.16
충주 1계 2007-9333(1),전,충북 음성군 음성읍 용산리 1158,"43,170,000","24,284,000",낙찰(2/3),"25,600,000",59.3%,2008.07.22
충주 1계 2007-9333(3),전,충북 음성군 음성읍 용산리 1449,"12,864,000","7,236,000",낙찰(2/3),"8,000,000",62.2%,2008.07.22
충주 2계 2007-9340,아파트,"충북 충주시 봉방동 149-3 ,774-15 좋은세상 101동 8층 803호","125,000,000","93,750,000",취하(1/1),0,0%,2008.10.21
충주 2계 2007-9432,대지,충북 충주시 교현동 248-41,"87,750,000","65,813,000",취하(1/1),0,0%,2008.09.16
충주 3계 2007-9500(1),단독주택,충북 충주시 앙성면 본평리 648 1호,"33,538,600","25,154,000",낙찰(1/2),"26,000,000",77.5%,2008.10.28
충주 3계 2007-9500(3),답,충북 충주시 앙성면 용대리 96,"54,369,000","30,583,000",낙찰(2/3),"32,000,000",58.9%,2008.12.02
충주 1계 2007-9517(1),전,충북 충주시 금가면 사암리 30-3,"78,331,500","44,062,000",낙찰(2/3),"44,100,000",56.3%,2008.07.22
충주 1계 2007-9555(1),근린주택,충북 충주시 문화동 677,"319,525,300","134,800,000",취하(3/4),0,0%,2008.10.14
충주 1계 2007-9609(1),임야,충북 음성군 대소면 미곡리 산49-1,"637,392,000","478,044,000",기각(2/2),0,0%,2008.09.01
충주 1계 2007-9609(2),전,충북 음성군 대소면 미곡리 302-2,"177,705,000","177,705,000",낙찰(0/1),"187,200,000",105.3%,2008.07.22
충주 1계 2007-9630(1),답,충북 충주시 대소원면 문주리 157,"26,638,000","26,638,000",낙찰(0/1),"27,310,000",102.5%,2008.07.22
